host_spp,j_day,host_den
squirrel,432,8
deer,432,0.25
mouse,433,40
squirrel,433,8
deer,433,0.25
mouse,434,40
squirrel,434,8
deer,434,0.25
mouse,435,40
squirrel,435,8
deer,435,0.25
mouse,436,40
squirrel,436,8
deer,436,0.25
mouse,437,40
squirrel,437,8
deer,437,0.25
mouse,438,40
squirrel,438,8
deer,438,0.25
mouse,439,40
squirrel,439,8
deer,439,0.25
mouse,440,40
squirrel,440,8
deer,440,0.25
mouse,441,40
squirrel,441,8
deer,441,0.25
mouse,442,40
squirrel,442,8
deer,442,0.25
mouse,443,40
squirrel,443,8
deer,443,0.25
mouse,444,40
squirrel,444,8
deer,444,0.25
mouse,445,40
squirrel,445,8
deer,445,0.25
mouse,446,40
squirrel,446,8
deer,446,0.25
mouse,447,40
squirrel,447,8
deer,447,0.25
mouse,448,40
squirrel,448,8
deer,448,0.25
mouse,449,40
squirrel,449,8
deer,449,0.25
mouse,450,40
squirrel,450,8
deer,450,0.25
mouse,451,40
squirrel,451,8
deer,451,0.25
mouse,452,40
squirrel,452,8
deer,452,0.25
mouse,453,40
squirrel,453,8
deer,453,0.25
mouse,454,40
squirrel,454,8
deer,454,0.25
mouse,455,40
squirrel,455,8
deer,455,0.25
mouse,456,40
squirrel,456,8
deer,456,0.25
mouse,457,40
squirrel,457,8
deer,457,0.25
mouse,458,40
squirrel,458,8
deer,458,0.25
mouse,459,40
squirrel,459,8
deer,459,0.25
mouse,460,40
squirrel,460,8
deer,460,0.25
mouse,461,40
squirrel,461,8
deer,461,0.25
mouse,462,40
squirrel,462,8
deer,462,0.25
mouse,463,40
squirrel,463,8
deer,463,0.25
mouse,464,40
squirrel,464,8
deer,464,0.25
mouse,465,40
squirrel,465,8
deer,465,0.25
mouse,466,40
squirrel,466,8
deer,466,0.25
mouse,467,40
squirrel,467,8
deer,467,0.25
mouse,468,40
squirrel,468,8
deer,468,0.25
mouse,469,40
squirrel,469,8
deer,469,0.25
mouse,470,40
squirrel,470,8
deer,470,0.25
mouse,471,40
squirrel,471,8
deer,471,0.25
mouse,472,40
squirrel,472,8
deer,472,0.25
mouse,473,40
squirrel,473,8
deer,473,0.25
mouse,474,40
squirrel,474,8
deer,474,0.25
mouse,475,40
squirrel,475,8
deer,475,0.25
mouse,476,40
squirrel,476,8
deer,476,0.25
mouse,477,40
squirrel,477,8
deer,477,0.25
mouse,478,40
squirrel,478,8
deer,478,0.25
mouse,479,40
squirrel,479,8
deer,479,0.25
mouse,480,40
squirrel,480,8
deer,480,0.25
mouse,481,40
squirrel,481,8
deer,481,0.25
mouse,482,40
squirrel,482,8
deer,482,0.25
mouse,483,40
squirrel,483,8
deer,483,0.25
mouse,484,40
squirrel,484,8
deer,484,0.25
mouse,485,40
squirrel,485,8
deer,485,0.25
mouse,486,40
squirrel,486,8
deer,486,0.25
mouse,487,40
squirrel,487,8
deer,487,0.25
mouse,488,40
squirrel,488,8
deer,488,0.25
mouse,489,40
squirrel,489,8
deer,489,0.25
mouse,490,40
squirrel,490,8
deer,490,0.25
mouse,491,40
squirrel,491,8
deer,491,0.25
mouse,492,40
squirrel,492,8
deer,492,0.25
mouse,493,40
squirrel,493,8
deer,493,0.25
mouse,494,40
squirrel,494,8
deer,494,0.25
mouse,495,40
squirrel,495,8
deer,495,0.25
mouse,496,40
squirrel,496,8
deer,496,0.25
mouse,497,40
squirrel,497,8
deer,497,0.25
mouse,498,40
squirrel,498,8
deer,498,0.25
mouse,499,40
squirrel,499,8
deer,499,0.25
mouse,500,40
squirrel,500,8
deer,500,0.25
mouse,501,40
squirrel,501,8
deer,501,0.25
mouse,502,40
squirrel,502,8
deer,502,0.25
