j_day,tmean,ppt,vpdmean
786,3.0749999999999997,13.1475,1.90875
787,1.35,9.0375,2.25125
788,-5.2,0,2.345
789,-3.225,0.6425,2.77625
790,1.35,0,3.92375
791,1.375,2.0725,3.07
792,-2.75,3.5999999999999996,1.72375
793,-4.35,0.71,1.44375
794,-7.625,0.91,1.26375
795,-7.7,0,1.45625
796,-5.8,0.1725,2.3362499999999997
797,-2.45,3.3575,1.7000000000000002
798,-0.30000000000000016,2.365,2.2975
799,-0.2,0.5275,2.595
800,1.5250000000000004,1.6,3.45375
801,-1.95,4.7475,1.50125
802,-3.4000000000000004,0.14,1.86625
803,-1.6750000000000005,4.1850000000000005,2.635
804,0.35,10.6525,2.65
805,0.7249999999999999,2.61,2.5825
806,-1.525,0.1725,2.1975
807,-4.025,2.415,1.98875
808,-2.6750000000000003,0.1025,3.20125
809,-4.05,0.14,2.5875
810,-2,0,3.48
811,-1.025,1.975,2.44875
812,-3.6,7.4525,2.015
813,-1.4,0.32,3.05875
814,0.02500000000000005,2.97,2.4425
815,-1.7000000000000002,1.5425,2.21875
816,-0.6000000000000001,0.7224999999999999,2.6525000000000003
817,2.375,0.91,3.15125
818,6.35,0.3825,3.72
819,4.25,10.055,2.15625
